,OFFER,RETAILER,BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
160,GOYA® Coconut Water,,GOYA,Carbonated Soft Drinks,Beverages
161,"GOYA® Adobo Seasoning, 8 ounce+",,GOYA,Carbonated Soft Drinks,Beverages
162,"Sign up for McAlister's Deli Rewards, tap for details",MCALISTERS DELI,MCALISTERS DELI,Carbonated Soft Drinks,Beverages
163,"MTN DEW® Kickstart, 16-ounce 12 count, select varieties, at Amazon Storefront*",AMAZON,MOUNTAIN DEW,Carbonated Soft Drinks,Beverages
164,"Stubborn Soda OR Bundaberg Ginger Beer, select varieties, at Amazon Storefront*",AMAZON,STUBBORN SODA,Carbonated Soft Drinks,Beverages
165,"Starry™ Lemon Lime Soda multipacks, at Kroger",DILLONS GROCERY,STARRY,Carbonated Soft Drinks,Beverages
166,"Starry™ Lemon Lime Soda, 7.5-ounce 10 pack, at Amazon Storefront*",AMAZON,STARRY,Carbonated Soft Drinks,Beverages
167,"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,EVOLVE,Carbonated Soft Drinks,Beverages
168,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,Cooking & Baking,Pantry
169,"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,Pantry
170,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,Pantry
171,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,Pantry
172,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,Cooking & Baking,Pantry
173,Spend $10 at Subway,SUBWAY,SUBWAY,Cooking & Baking,Pantry
174,Spend $25 at Subway,SUBWAY,SUBWAY,Cooking & Baking,Pantry
175,Spend $15 at Subway,SUBWAY,SUBWAY,Cooking & Baking,Pantry
176,Spend $35 at Subway,SUBWAY,SUBWAY,Cooking & Baking,Pantry
177,Red Gold Tomato Ketchup,,RED GOLD,Cooking & Baking,Pantry
178,Red Gold Tomato Juice,,RED GOLD,Cooking & Baking,Pantry
179,Spend $140 at Shaws,SHAWS,SHAWS,Cooking & Baking,Pantry
180,Spend $185 at Shaws,SHAWS,SHAWS,Cooking & Baking,Pantry
181,Shop 2 times at Shaw's,SHAWS,SHAWS,Cooking & Baking,Pantry
182,Any Shaw's receipt,SHAWS,SHAWS,Cooking & Baking,Pantry
183,Spend $300 at Shaws,SHAWS,SHAWS,Cooking & Baking,Pantry
184,Order from Casey's app or Caseys.com,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,Pantry
185,Spend $25 at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,Pantry
186,Spend $5 in-store at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,Pantry
187,Select beverages AND prepared food items at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,Pantry
188,Visit OR order online from Casey's 7 times,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking,Pantry
